"firstyear","lastyear","prob_noisy"
1977,1977,0.0336813627650595
1977,1978,0.0337447870048132
1977,1979,0.0295466886343728
1977,1980,0.0227846747161604
1977,1981,0.0180450022235774
1977,1982,0.0196394797569329
1977,1983,0.0126112130511588
1977,1984,0.0120348699708155
1977,1985,0.0122967045126613
1977,1986,0.00943207867098407
1977,1987,0.0115324896400706
1977,1988,0.00533144468242835
1977,1989,0.00997731671484997
1977,1990,0.00622238589524684
1977,1991,0.0071166379165162
1977,1992,0.00554809483488726
1977,1993,0.00472206426149459
1977,1994,0.00405405607023869
1977,1995,0.00350759098092004
1977,1996,0.00363503747336164
1977,1997,0.00333974303938785
1977,1998,0.00323452807705994
1977,1999,0.00247236851519857
1977,2000,0.0362999190425195
1978,1978,0
1978,1979,0.00271879153198491
1978,1980,0.00473934602835127
1978,1981,0.00303489180662651
1978,1982,0.00294212519303649
1978,1983,0.00190636833612516
1978,1984,0.00168296342100008
1978,1985,0.00163065607217545
1978,1986,0.00121907055821632
1978,1987,0.00132301559415981
1978,1988,0.000755255234278852
1978,1989,0.00111285592406257
1978,1990,0.000652553771522711
1978,1991,0.000736820381470476
1978,1992,0.000532116008934709
1978,1993,0.00039632068643299
1978,1994,0.000377620568857243
1978,1995,0.000400043311814832
1978,1996,0.000336361014003284
1978,1997,0.000424577043605969
1978,1998,0.00031913113354597
1978,1999,0.000245668415690105
1978,2000,0.00377132634539876
1979,1979,0
1979,1980,0.00336548455693851
1979,1981,0.00402678152316964
1979,1982,0.00359866202323608
1979,1983,0.00233321986449227
1979,1984,0.00211894429330358
1979,1985,0.00179466059461255
1979,1986,0.00134208671154048
1979,1987,0.00159723450534053
1979,1988,0.000875961958082716
1979,1989,0.00111816416032166
1979,1990,0.00075719889989544
1979,1991,0.000844133613288661
1979,1992,0.000633322564312503
1979,1993,0.000502662425790943
1979,1994,0.000403799036646217
1979,1995,0.000413570968477359
1979,1996,0.000394205225717838
1979,1997,0.00041173677514339
1979,1998,0.000283853437751709
1979,1999,0.000295275228352861
1979,2000,0.00394882456024169
1980,1980,2.03259891275236e-06
1980,1981,0.00277128714281639
1980,1982,0.00453995392745991
1980,1983,0.00286791015936578
1980,1984,0.00229855588847172
1980,1985,0.00214394618876922
1980,1986,0.00165306545055545
1980,1987,0.00169517034243431
1980,1988,0.00084114475694913
1980,1989,0.00105343517876699
1980,1990,0.000814494240009701
1980,1991,0.000942284472630046
1980,1992,0.000675480177088818
1980,1993,0.00044457525205941
1980,1994,0.000444272978826895
1980,1995,0.000443031359224027
1980,1996,0.000344062908532791
1980,1997,0.000422288828861976
1980,1998,0.000359414661873657
1980,1999,0.000293121005650545
1980,2000,0.00408277984932559
1981,1981,0
1981,1982,0.00461126389797211
1981,1983,0.00556615359493843
1981,1984,0.00386273803854803
1981,1985,0.00310526273848872
1981,1986,0.002212659195948
1981,1987,0.00240291820164816
1981,1988,0.0010900120792199
1981,1989,0.00180444602394242
1981,1990,0.000970640523662325
1981,1991,0.00130158706672318
1981,1992,0.000887831507587238
1981,1993,0.000742554018670257
1981,1994,0.000669144886723572
1981,1995,0.00048048021928538
1981,1996,0.00059000373924707
1981,1997,0.000502926534863876
1981,1998,0.000384833140772066
1981,1999,0.000334971360412499
1981,2000,0.00572257928256049
1982,1982,4.45442158758002e-06
1982,1983,0.00404746940156111
1982,1984,0.00515978183598359
1982,1985,0.00376681500401392
1982,1986,0.00245103454113069
1982,1987,0.00277676746086574
1982,1988,0.00136041047102093
1982,1989,0.00170558668809618
1982,1990,0.00104037712345535
1982,1991,0.00160300589993723
1982,1992,0.00103924854597065
1982,1993,0.000673193779395698
1982,1994,0.000680477657631137
1982,1995,0.000517990487562559
1982,1996,0.000580586101794721
1982,1997,0.000554522229229159
1982,1998,0.000409811076572786
1982,1999,0.000329462605604638
1982,2000,0.00521181670293641
1983,1983,3.10963840791484e-07
1983,1984,0.00288478191160234
1983,1985,0.00529510761546928
1983,1986,0.00374852641902388
1983,1987,0.00297870022405767
1983,1988,0.00200637050317765
1983,1989,0.00215604464829303
1983,1990,0.0015617370068279
1983,1991,0.0014606441516732
1983,1992,0.00104422110198581
1983,1993,0.000826896028817192
1983,1994,0.000736802873729012
1983,1995,0.00063987861619116
1983,1996,0.000701395518440228
1983,1997,0.000569794854090601
1983,1998,0.000473606253506767
1983,1999,0.000438902012780205
1983,2000,0.0055977884887537
1984,1984,9.95214262178752e-07
1984,1985,0.00241394260907687
1984,1986,0.00431336135928064
1984,1987,0.00377180236039017
1984,1988,0.00260519502826352
1984,1989,0.00220340677137293
1984,1990,0.00158335527250208
1984,1991,0.00141812591159835
1984,1992,0.00115174425308769
1984,1993,0.000860623229757759
1984,1994,0.000791905594012599
1984,1995,0.00075430199980275
1984,1996,0.00075830192738389
1984,1997,0.000726532238071987
1984,1998,0.000555485625378122
1984,1999,0.000531081433403923
1984,2000,0.00596786195287195
1985,1985,2.09614380375862e-06
1985,1986,0.00286084929795601
1985,1987,0.0052611710370519
1985,1988,0.00372254197019672
1985,1989,0.00301712703295927
1985,1990,0.00228832818093127
1985,1991,0.00202006250639378
1985,1992,0.0015061438874492
1985,1993,0.00100577921663744
1985,1994,0.00100652458580864
1985,1995,0.000889403947820604
1985,1996,0.000862824043791261
1985,1997,0.000710292470676887
1985,1998,0.000634655526682824
1985,1999,0.000509641631951525
1985,2000,0.00684276702523278
1986,1986,0
1986,1987,0.0035358559615371
1986,1988,0.0053570899644482
1986,1989,0.00429389797664612
1986,1990,0.00290269605024227
1986,1991,0.00237675368607943
1986,1992,0.00189628594255714
1986,1993,0.00120093644401991
1986,1994,0.0011066704340391
1986,1995,0.000922147087661538
1986,1996,0.00100915263964452
1986,1997,0.000890899440354179
1986,1998,0.000716232335724983
1986,1999,0.000561876334572671
1986,2000,0.00726248350223765
1987,1987,2.92478858669815e-07
1987,1988,0.0040662991372255
1987,1989,0.00529951649786246
1987,1990,0.00333902831760987
1987,1991,0.00293552385590891
1987,1992,0.00241823841093111
1987,1993,0.0018164476431059
1987,1994,0.00122938404505683
1987,1995,0.00115086142919379
1987,1996,0.00105222917721653
1987,1997,0.0010142559876979
1987,1998,0.000784628563522491
1987,1999,0.000598051133626855
1987,2000,0.00819604612709429
1988,1988,8.37808028562793e-07
1988,1989,0.00285170608665991
1988,1990,0.00359637570049949
1988,1991,0.00258269541938521
1988,1992,0.00210927775449849
1988,1993,0.00189670742632553
1988,1994,0.00157693766033182
1988,1995,0.0010747240226141
1988,1996,0.0012708563328899
1988,1997,0.000989877578939252
1988,1998,0.000830699463500155
1988,1999,0.000713241379037497
1988,2000,0.00695875373424436
1989,1989,0
1989,1990,0.00233137413056577
1989,1991,0.0030585296059771
1989,1992,0.00305873259712895
1989,1993,0.00240208487429227
1989,1994,0.00188735557192653
1989,1995,0.00155982077767344
1989,1996,0.00144919605529261
1989,1997,0.00132539095062517
1989,1998,0.000928826199525948
1989,1999,0.000886453672901368
1989,2000,0.0088677497759284
1990,1990,0
1990,1991,0.00210373714375796
1990,1992,0.00396968958075287
1990,1993,0.00290374013365017
1990,1994,0.0021189157124067
1990,1995,0.00172092227586331
1990,1996,0.00160180823548719
1990,1997,0.00127056127784758
1990,1998,0.00107818291093394
1990,1999,0.000810402555142223
1990,2000,0.00927095499878706
1991,1991,0
1991,1992,0.00269552893469794
1991,1993,0.00402120052368585
1991,1994,0.00296345140135344
1991,1995,0.00212670515411356
1991,1996,0.00188021112870705
1991,1997,0.00158936583256616
1991,1998,0.00126290592986361
1991,1999,0.000977953013359303
1991,2000,0.009923900748384
1992,1992,0
1992,1993,0.00314255496576131
1992,1994,0.00378166129973621
1992,1995,0.00272313091737139
1992,1996,0.00242359617321377
1992,1997,0.00183382855073852
1992,1998,0.00143794726569365
1992,1999,0.00105285565802596
1992,2000,0.010200334561879
1993,1993,7.59652146991277e-07
1993,1994,0.00267510623973818
1993,1995,0.00387525807195782
1993,1996,0.00308901224455362
1993,1997,0.00214881079390235
1993,1998,0.00166826292079869
1993,1999,0.00143702705479616
1993,2000,0.0121754955351
1994,1994,0
1994,1995,0.0030483344295263
1994,1996,0.0039111623444772
1994,1997,0.00271484369139949
1994,1998,0.00206108846289654
1994,1999,0.00159518555602817
1994,2000,0.013749447841468
1995,1995,1.14114171383071e-06
1995,1996,0.00299300391333954
1995,1997,0.00377003991529076
1995,1998,0.00280614486794081
1995,1999,0.00203821701176841
1995,2000,0.0150881079807975
1996,1996,0
1996,1997,0.00315903484178339
1996,1998,0.00399947398043764
1996,1999,0.00304650914984093
1996,2000,0.0185866304880828
1997,1997,0
1997,1998,0.00342115432145195
1997,1999,0.00385381625447515
1997,2000,0.0206243840349347
1998,1998,2.04540810766446e-08
1998,1999,0.00340328074313938
1998,2000,0.0232408266293384
1999,1999,0
1999,2000,0.0335442907472123
2000,2000,0.0291600309273967
