"firstyear","lastyear","prob_noisy"
1977,1977,0.0208195902061984
1977,1978,0.0178503275756554
1977,1979,0.0164418816647506
1977,1980,0.0126729908385278
1977,1981,0.0103338976038659
1977,1982,0.0118640052454437
1977,1983,0.00591138526165622
1977,1984,0.00566345173041458
1977,1985,0.00610517568031786
1977,1986,0.00490527192621443
1977,1987,0.00612866659765152
1977,1988,0.00437638397916501
1977,1989,0.00421235824432774
1977,1990,0.00370275859554497
1977,1991,0.00396771889485789
1977,1992,0.00459081448848696
1977,1993,0.0034755311714065
1977,1994,0.00364847925979809
1977,1995,0.00318009524476499
1977,1996,0.00327744815667195
1977,1997,0.00334158232573976
1977,1998,0.00252143370793936
1977,1999,0.00200425583227895
1977,2000,0.199313541771037
1978,1978,0
1978,1979,0.00142207551964758
1978,1980,0.00200900569284401
1978,1981,0.00152772749833921
1978,1982,0.00154757186542999
1978,1983,0.00135497704784533
1978,1984,0.000738076157833287
1978,1985,0.000721495092277546
1978,1986,0.000747943540043703
1978,1987,0.00055857033606938
1978,1988,0.000537494930394444
1978,1989,0.000408043123472033
1978,1990,0.000357921727854215
1978,1991,0.000313361190690306
1978,1992,0.00033046350771916
1978,1993,0.000247780558019226
1978,1994,0.000274961780663529
1978,1995,0.000270227918733175
1978,1996,0.00033676783295799
1978,1997,0.000264491146237267
1978,1998,0.000204204928636589
1978,1999,0.000208737773875686
1978,2000,0.00640529726501822
1979,1979,0
1979,1980,0.00205270628507354
1979,1981,0.00231088020240627
1979,1982,0.00159768324231243
1979,1983,0.00105415116089387
1979,1984,0.000990452683888439
1979,1985,0.000751053198524404
1979,1986,0.000766398353780058
1979,1987,0.000976603306510098
1979,1988,0.000484854840189651
1979,1989,0.000437621075654782
1979,1990,0.00035895516676476
1979,1991,0.000447658158378694
1979,1992,0.000320821099068562
1979,1993,0.000360626443940977
1979,1994,0.000287343129834769
1979,1995,0.000192767047731551
1979,1996,0.000294181858238638
1979,1997,0.000201581981729275
1979,1998,0.000335407560782326
1979,1999,0.000189898621597884
1979,2000,0.00562402426685886
1980,1980,0
1980,1981,0.0014209236190151
1980,1982,0.00244100021662515
1980,1983,0.00153534611881227
1980,1984,0.000992865861272032
1980,1985,0.000765284960804124
1980,1986,0.000848148562186729
1980,1987,0.000969725342107414
1980,1988,0.00055023668664457
1980,1989,0.000533466048799111
1980,1990,0.000474628019675718
1980,1991,0.000377088444146114
1980,1992,0.000414343527106832
1980,1993,0.000252711324033999
1980,1994,0.00033672267462228
1980,1995,0.000233747905106108
1980,1996,0.000280764565767823
1980,1997,0.000322042088422653
1980,1998,0.000172661282996951
1980,1999,0.000167139531948734
1980,2000,0.00556782547748579
1981,1981,0
1981,1982,0.00211719308129836
1981,1983,0.00251606085801764
1981,1984,0.00176101427004175
1981,1985,0.00124506058554193
1981,1986,0.00097324259339396
1981,1987,0.000662756555778661
1981,1988,0.000818580124119968
1981,1989,0.000682784045150816
1981,1990,0.000678213255456219
1981,1991,0.00072193114087928
1981,1992,0.000357449780865898
1981,1993,0.000404136184823302
1981,1994,0.000325355369970917
1981,1995,0.000544869843232338
1981,1996,0.000292981671889447
1981,1997,0.000292053177495284
1981,1998,0.00027788875823625
1981,1999,0.000297420603149456
1981,2000,0.00574619961186253
1982,1982,0
1982,1983,0.00215645343134105
1982,1984,0.00263892171384882
1982,1985,0.00150383572535123
1982,1986,0.00146222397929308
1982,1987,0.00118060064816057
1982,1988,0.000534901621935863
1982,1989,0.000908182466562472
1982,1990,0.000634740714911087
1982,1991,0.000780850979918057
1982,1992,0.00050647162425569
1982,1993,0.000460941967345747
1982,1994,0.000493779854021133
1982,1995,0.000346183762322343
1982,1996,0.000256869007917762
1982,1997,0.000336027483858921
1982,1998,0.000265883084072804
1982,1999,0.000179541066119824
1982,2000,0.00730830762696898
1983,1983,0
1983,1984,0.00143578006880166
1983,1985,0.00241837564044838
1983,1986,0.00169957974177025
1983,1987,0.0014658272107265
1983,1988,0.00107005674201789
1983,1989,0.00102892526030229
1983,1990,0.000743456655090631
1983,1991,0.000744317797681438
1983,1992,0.000667631261387036
1983,1993,0.000675192576394081
1983,1994,0.000559168624020205
1983,1995,0.000333580280476108
1983,1996,0.000414972163115967
1983,1997,0.000528810830005906
1983,1998,0.00032234100013121
1983,1999,0.000208727053350949
1983,2000,0.00700238371220726
1984,1984,8.92072336149129e-06
1984,1985,0.00136720342717888
1984,1986,0.00192555504815233
1984,1987,0.00162703056340917
1984,1988,0.00126365447681317
1984,1989,0.00113930243940813
1984,1990,0.00107367323058383
1984,1991,0.000907791231769287
1984,1992,0.000874891984357248
1984,1993,0.000591214310139452
1984,1994,0.00079336222476809
1984,1995,0.000500698845533914
1984,1996,0.00060409889170216
1984,1997,0.000555207708322322
1984,1998,0.000493696143458776
1984,1999,0.000235907993117724
1984,2000,0.00804040637180259
1985,1985,5.85050308071533e-06
1985,1986,0.00166769908576536
1985,1987,0.00244735992583924
1985,1988,0.00203169187423214
1985,1989,0.00172626082792031
1985,1990,0.00143216539449967
1985,1991,0.0010611285789271
1985,1992,0.000760709093069906
1985,1993,0.00075014499403841
1985,1994,0.000810956655804152
1985,1995,0.000501959663481028
1985,1996,0.000707955658100281
1985,1997,0.000546341252418118
1985,1998,0.000393491731906257
1985,1999,0.000592447961883126
1985,2000,0.00747872385834866
1986,1986,0
1986,1987,0.00147670189998466
1986,1988,0.00277111441590417
1986,1989,0.00224058062646515
1986,1990,0.00158218623697288
1986,1991,0.00141998680718092
1986,1992,0.00136744035976189
1986,1993,0.000901625829105057
1986,1994,0.000926570109628989
1986,1995,0.000728561891728244
1986,1996,0.000575352622159108
1986,1997,0.000725643199328288
1986,1998,0.000489948382577123
1986,1999,0.000716690464276995
1986,2000,0.00755594722844519
1987,1987,0
1987,1988,0.00235304711726553
1987,1989,0.00267083491370983
1987,1990,0.00162728273171096
1987,1991,0.00167333522034541
1987,1992,0.00179018470251547
1987,1993,0.000989409841854155
1987,1994,0.00109919416010794
1987,1995,0.000847174062703827
1987,1996,0.000758695901659352
1987,1997,0.000935676743834316
1987,1998,0.000482078616005847
1987,1999,0.000447988853176083
1987,2000,0.00873758606099604
1988,1988,0
1988,1989,0.00121426313363525
1988,1990,0.00159547522706753
1988,1991,0.00124361695164175
1988,1992,0.00123489302788329
1988,1993,0.00116110219528253
1988,1994,0.00106880858812168
1988,1995,0.00116232364581459
1988,1996,0.000827303442872684
1988,1997,0.000744148817502734
1988,1998,0.000704421780721376
1988,1999,0.000415904235723668
1988,2000,0.0090484961101812
1989,1989,0
1989,1990,0.00114518742381975
1989,1991,0.00174075606738265
1989,1992,0.00200366216294916
1989,1993,0.00191873704456144
1989,1994,0.00208273385664146
1989,1995,0.00126062833764875
1989,1996,0.00149451125883349
1989,1997,0.00118102506877442
1989,1998,0.00062368327723438
1989,1999,0.000699315119526514
1989,2000,0.0113213543178264
1990,1990,1.54098930908067e-06
1990,1991,0.00101676420298103
1990,1992,0.0026830532437185
1990,1993,0.00242286193024763
1990,1994,0.00182586498185997
1990,1995,0.00136728355000189
1990,1996,0.00197423878749523
