"firstyear","lastyear","prob_noisy"
1983,1991,0.000755568486842338
1983,1992,0.000664192794385565
1983,1993,0.000676211568441589
1983,1994,0.000557860984412414
1983,1995,0.000331487188352873
1983,1996,0.00040964154463223
1983,1997,0.00053137279633631
1983,1998,0.000315161361252775
1983,1999,0.000218737243427664
1983,2000,0.00699983980003454
1984,1984,2.8102193011502e-06
1984,1985,0.0013685607998086
1984,1986,0.00193705608017446
1984,1987,0.00161927584340672
1984,1988,0.00127698184077127
1984,1989,0.00113596025695928
1984,1990,0.00106247195316691
1984,1991,0.000905602935428083
1984,1992,0.000884193624527866
1984,1993,0.000601775001061098
1984,1994,0.00080236585568834
1984,1995,0.000497162737718771
1984,1996,0.000633219485254692
1984,1997,0.000538592394483929
1984,1998,0.000490264678732989
1984,1999,0.000217903840924003
1984,2000,0.00804175023383807
1985,1985,9.13646377894902e-06
1985,1986,0.0016643932892735
1985,1987,0.00243449247132641
1985,1988,0.00203110861970068
1985,1989,0.00172477549958681
1985,1990,0.00145828203921277
1985,1991,0.00105496791366286
1985,1992,0.000789030923228705
1985,1993,0.000782016568090406
1985,1994,0.00077753812872084
1985,1995,0.000506237313617798
1985,1996,0.000718073774096376
1985,1997,0.000542349167828484
1985,1998,0.000408754836421155
1985,1999,0.000596260592927408
1985,2000,0.00746227197744322
1986,1986,8.53171532034243e-06
1986,1987,0.00148545651912756
1986,1988,0.00276987217321442
1986,1989,0.00225344608616417
1986,1990,0.00159197487961664
1986,1991,0.00140905540837597
1986,1992,0.00136538249335897
1986,1993,0.000906332773742787
1986,1994,0.000938760543727046
1986,1995,0.000722507276889096
1986,1996,0.000578681124723166
1986,1997,0.000721504522896535
1986,1998,0.000490909639932865
1986,1999,0.000731956737626476
1986,2000,0.00754635850943749
1987,1987,0
1987,1988,0.00234288801580416
1987,1989,0.00265883381510652
1987,1990,0.00162818637627456
1987,1991,0.00168131832907829
1987,1992,0.0017595370249002
1987,1993,0.000967670698792134
1987,1994,0.0011133731371985
1987,1995,0.000851516320490566
1987,1996,0.000754205904478519
1987,1997,0.000937940774947473
1987,1998,0.000478544852131726
1987,1999,0.000435961590546207
1987,2000,0.00872652310397743
1988,1988,0
1988,1989,0.00121724717699416
1988,1990,0.00160151740709788
1988,1991,0.00124035895296109
1988,1992,0.0012418582374555
1988,1993,0.00115967538971418
1988,1994,0.00104101384344978
1988,1995,0.00116142797046131
1988,1996,0.000826496658715606
1988,1997,0.000753483532673856
1988,1998,0.000671488273767875
1988,1999,0.000410625993077871
1988,2000,0.00903846810456733
